"player_api_id","player_name","overall_rating","gk_attributes_sum","match_count","league_count"
"1",2625,"Patryk Rachwal,18",63,153,90,1
"2",2752,"Diego Mainz",72,53,81,1
"3",2768,"Jose Dorado",75,128,71,1
"4",2770,"Ignacio Gonzalez",74,148,16,2
"5",2790,"Alberto Rey",73,144,50,1
"6",2796,"Javier Jimenez",69,340,1,1
"7",2802,"Pablo Hernandez",82,146,144,2
"8",2805,"Ruben Perez",76,141,131,1
"9",2857,"Ivan Perez",72,143,3,1
"10",2862,"Vicente Sanchez",76,146,17,1
"11",2907,"Gregory Lacombe",68,135,6,1
"12",2973,"Ugur Inceman",72,147,16,1
"13",2977,"David Rivas Rodriguez",82,104,5,1
"14",2983,"Jorge Molina",75,139,71,1
"15",2984,"Sergio Aragones",75,364,38,1
"16",3140,"Alexandre Hauw",69,136,42,1
"17",3204,"Marat Izmailov",81,156,42,1
"18",3263,"Kelly Berville",67,115,19,1
"19",3264,"Abdelmalek Cherrad",62,98,1,1
"20",3316,"Oscar Sanchez",71,108,6,1
"21",3329,"Vincent Euvrard",64,130,85,1
"22",3377,"Luca Belingheri",72,138,1,1
"23",3441,"Aleksander Radosavljevic",71,138,74,1
"24",3512,"Peter Halmosi",75,143,4,1
"25",3517,"Alexandr Kerzhakov",82,149,17,1
"26",3520,"Andrey Arshavin",86,159,70,1
"27",4747,"Lee Wilkie",73,128,36,1
"28",4863,"Boban Grncarov",66,54,25,1
"29",4902,"Iriney",77,145,68,1
"30",4939,"Tim Clancy",64,116,97,1
"31",4999,"Sebastian Olszar",59,108,49,1
"32",5016,"Ibrahim Sidibe",65,50,69,1
"33",5044,"Jeroen Verhoeven",68,344,21,1
"34",5047,"Wilko de Vogt",61,309,10,1
"35",5063,"Sander Duits",68,61,106,1
"36",5184,"Gudmundur Steinarsson",62,108,5,1
"37",5192,"Manuel Silas",72,146,52,1
"38",5202,"Remy Gomis",73,139,163,1
"39",5217,"Laurent Batlles",77,140,102,1
"40",5223,"Raffaele Rubino",63,52,7,1
"41",5233,"Iban Javier Cuadrado",73,132,18,1
"42",5243,"Julio Alvarez",76,149,38,1
"43",5247,"Perez Richi",67,118,16,1
"44",5272,"Gary Coulibaly",68,126,27,1
"45",5362,"Ifet Taljevic,23",60,121,24,1
"46",5440,"Marjan Petkovic",67,332,5,1
"47",5468,"Freddy Mombongo-Dues",62,48,7,1
"48",5610,"Yann Jouffre",75,133,141,1
"49",5629,"Bertrand Robert",73,101,3,1
"50",5631,"Jeremy Blayac",68,113,13,1
"51",5662,"Dimitri Bulykin",73,124,45,1
"52",5686,"Gerry Koning",65,138,28,1
"53",5687,"Rowin van Zaanen",66,52,20,1
"54",5693,"Kees Kwakman",71,148,119,1
"55",5700,"Charles Dissels",65,132,3,1
"56",5703,"Otman Bakkal",75,149,74,1
"57",5710,"Diederik Boer",70,352,53,1
"58",6757,"Denis Dessaer",60,42,1,1
"59",6771,"Oliver Vinamont",60,51,22,1
"60",6798,"Roel van Hemert",60,55,14,1
"61",6800,"Jonas Ivens",68,132,93,2
"62",6803,"Brecht Verbrugghe",63,143,16,1
"63",6824,"Pedro Kamata",72,128,1,1
"64",6853,"Fabian Vargas",76,169,18,1
"65",6864,"Santiago Acasiete",75,134,65,1
"66",6911,"Fabian Canobbio",77,160,38,1
"67",7099,"Toni Lehtinen",60,123,1,1
"68",7206,"Sebastian Sorsa",61,48,2,1
"69",7226,"Roni Porokara",69,145,16,1
"70",7284,"Kasper Haemaelaeinen",72,130,81,1
"71",7334,"Anssi Jaakkola",63,310,12,1
"72",7604,"Tom van Hyfte",67,64,33,1
"73",7616,"Kristian Nushi",63,133,97,1
"74",7621,"Anthony Favre",60,300,51,1
"75",7627,"Thierno Bah",63,76,55,1
"76",7628,"Tibert Pont",57,41,27,1
"77",7663,"Jerome Schneider",55,56,36,1
"78",7681,"Josip Colina",59,128,49,1
"79",7683,"Alessandro Iandoli",66,49,57,1
"80",8777,"Michele Polverino",60,97,31,1
"81",8780,"Marco Perez",73,47,3,1
"82",8784,"Stefan Nater",58,49,87,1
"83",8800,"Thomas Reinmann",63,63,117,1
"84",8837,"Angelo Raso",57,148,43,1
"85",8840,"Cristian Florin Ianu",66,140,60,1
"86",8881,"Marco Padalino",75,143,38,2
"87",8893,"Antoine Rey",65,62,31,1
"88",8922,"Nikica Jelavic",78,110,120,2
"89",8925,"Ryan Thomson",52,49,11,1
"90",8930,"Hrvoje Cale",72,114,17,1
"91",8932,"Dino Drpic",72,108,15,1
"92",8985,"Mile Jedinak",76,136,78,1
"93",9079,"Mensur Mujdza",73,143,87,1
"94",9086,"Ivica Vrdoljak",70,43,112,1
"95",9124,"Ivan Radeljic,18",67,125,18,1
"96",9128,"Tomislav Dujmovic",72,141,9,1
"97",9144,"Yasin Karaca",61,131,8,1
"98",9149,"Joost Volmer",65,101,10,1
"99",9183,"Janos Balogh",71,362,34,1
"100",9203,"Tibor Tisza",65,59,3,1
"101",9213,"Peter Czvitkovics",70,57,11,1
"102",9307,"Balazs Toth",66,126,44,2
"103",9449,"Oleksandr Shevelyukhin",67,46,75,1
"104",10348,"Alejandro Dominguez",78,150,39,1
"105",10404,"Stanislav Vlcek",75,148,1,1
"106",10474,"Evaldas Razulis",62,48,5,1
"107",10491,"Diniyar Bilyaletdinov",79,155,33,1
"108",10637,"Andris Vanins",72,361,223,1
"109",10880,"Robbie Haemhouts",66,61,59,1
"110",10933,"Robert Jez",69,71,102,1
"111",10950,"Pavel Krmas",69,122,93,1
"112",10967,"Petr Jiracek",76,130,38,1
"113",10984,"Maros Klimpl",73,123,20,1
"114",11024,"Tomas Cerny",74,370,135,1
"115",11027,"Roman Hubnik",74,144,34,1
"116",11038,"Vojtech Schulmeister",63,127,2,1
"117",11049,"Matej Krajcik",70,137,6,1
"118",11052,"Michal Svec",70,135,37,1
"119",11061,"Csaba Horvath",66,122,114,2
"120",11242,"Konstantin Engel",67,59,2,1
"121",11263,"Roman Prokoph",65,104,11,1
"122",11285,"Lucas",78,52,8,1
"123",11316,"Jean-Louis Leca",71,357,45,1
"124",11317,"Florent Ghisolfi",64,139,4,1
"125",11319,"Benoit Costil",81,407,181,1
"126",11320,"Steeve Elana",76,374,95,1
"127",11321,"Vincent Plante",74,369,53,1
"128",11323,"Cedric Hengbart",78,119,149,1
"129",11324,"Nicolas Seube",72,130,141,1
"130",11327,"Anthony Deroin",71,139,26,1
"131",11329,"Reynald Lemaitre",70,140,132,1
"132",11332,"Yohann Eudeline",70,132,2,1
"133",11336,"Rudy Riou",71,357,69,2
"134",11349,"Jose Gaspar",68,113,92,1
"135",11357,"Olafur Ingi Skulason",70,128,41,1
"136",11496,"Wade Elliott",74,145,34,1
"137",11498,"Stuart Nelson",65,328,3,1
"138",11555,"Fernando Soriano",74,150,110,1
"139",11569,"Avi Strool",67,141,28,1
"140",11576,"Tamir Cohen",73,155,32,1
"141",11671,"Gael Genevier",69,161,4,1
"142",11685,"Antonio Candreva",83,156,197,1
"143",11716,"Pedro Roma",72,352,2,1
"144",11726,"Nuno Piloto",69,58,94,1
"145",11734,"Tininho",57,111,11,1
"146",11736,"Antolin Alcaraz",74,140,116,3
"147",11743,"Artur",74,58,128,1
"148",11746,"Pedro Alves",66,329,2,1
"149",11747,"Alessandro Mangiarrati",60,120,56,1
"150",11752,"Marco Paulo",64,131,2,1
"151",11754,"Ruben Amorim",77,150,65,1
"152",11758,"Eliseu",78,139,203,2
"153",11759,"Carlos Milhazes,22",68,141,22,1
"154",11760,"Jorge Baptista",65,316,5,1
"155",11778,"Roversio",73,128,26,1
"156",11788,"Rui Baiao,22",65,133,22,1
"157",11795,"Ferreira",61,126,12,1
"158",11796,"Briguel",66,112,103,1
"159",11798,"Zeca",75,48,13,1
"160",11801,"Luis Olim",65,126,39,1
"161",11827,"Fernando Cardozo",69,136,25,1
"162",11829,"Bruno Patacas",70,136,52,1
"163",11833,"de Oliveira Cleber Monteiro",69,131,64,1
"164",11836,"Marcelo Pereira Bruno",68,139,29,1
"165",11840,"Miguel Fidalgo",68,131,24,1
"166",11849,"Pedro Moreira",69,63,52,1
"167",11851,"Nuno Silva",68,126,33,1
"168",11860,"Jose Manuel Ze Gomes",67,139,59,1
"169",11861,"Bruno Mendes",66,129,11,1
"170",11863,"Danielson",71,111,175,1
"171",11865,"Ferreira Delson,28",65,136,28,1
"172",11876,"Laranjeiro",68,149,26,1
"173",11897,"Flavio Meireles",70,134,28,1
"174",11901,"Ricardo Pessoa",65,59,52,1
"175",12005,"Ersen Martin",75,140,1,1
"176",12099,"Marcel MBayo,25",66,121,25,1
"177",12209,"Tomas Kosicky",66,330,7,1
"178",12245,"Adam Nemec",70,121,12,3
"179",12246,"Stanislav Sestak",77,122,50,1
"180",12283,"Robert Demjan",68,101,97,2
"181",12288,"Jan Durica",75,121,8,1
"182",12307,"Miroslav Bozok",63,43,96,1
"183",12310,"Rudolf Urban",57,40,8,1
"184",12318,"Dusan Pernis",70,351,106,2
"185",12320,"Dalibor Pleva",60,47,23,1
"186",12327,"Matej Izvolt",62,52,33,1
"187",12330,"Peter Pekarik",76,134,114,1
"188",12340,"Richard Zajac,28",67,342,73,1
"189",12371,"Kamil Kopunek",65,42,4,1
"190",12374,"Pavol Stano",66,122,179,1
"191",12381,"Jan Slovenciak",59,291,1,1
"192",12386,"Krisztian Nemeth",71,101,52,1
"193",12405,"Elvedin Dzinic",66,114,27,2
"194",12418,"Dragan Jelic",64,54,3,1
"195",12431,"Jure Travner",65,142,35,1
"196",12454,"Branko Ilic",69,138,1,1
"197",12473,"Marko Suler",72,121,65,2
"198",12574,"Zlatan Ljubijankic",72,146,65,1
"199",12692,"Kanu",71,137,40,1
"200",12763,"Nicolae Ovidiu Herea",69,60,25,1
"201",12766,"Cristian Sapunaru",77,132,80,2
"202",12985,"Christos Karypidis",66,126,34,1
"203",13033,"Orestis Karnezis",79,391,81,2
"204",13034,"Michalis Sifakis",76,377,7,1
"205",13131,"Tomislav Pacovski",68,330,70,1
"206",13191,"Ioannis Maniatis",75,51,3,1
"207",13225,"Fabian Pawela",62,53,29,1
"208",13301,"Kamil Kuzera",65,109,46,1
"209",13320,"Krzysztof Kotorowski",66,332,70,1
"210",13327,"Pawel Sasin",64,125,41,1
"211",13329,"Blazej Telichowski",62,131,99,1
"212",13334,"Lukasz Madej",68,147,140,2
"213",13345,"Pawel Kieszek",75,374,143,2
"214",13349,"Antoni Lukasiewicz",68,129,77,1
"215",13350,"Wojciech Szymanek",61,53,32,1
"216",13376,"Jakub Rzezniczak",70,126,142,1
"217",13383,"Maciej Korzym",67,114,127,1
"218",13390,"Wojciech Skaba",63,312,60,1
"219",13405,"Marcin Malinowski",65,116,158,1
"220",13410,"Mariusz Zganiacz",71,51,39,1
"221",13423,"Marcin Wasilewski",72,139,84,2
"222",13425,"Wahan Gevorgyan",63,53,34,1
"223",13428,"Slawomir Peszko",75,132,117,2
"224",13436,"Krzysztof Pilarz",67,360,125,1
"225",13437,"Piotr Celeban",72,106,155,1
"226",13449,"Lukasz Tralka",70,126,189,1
"227",13454,"Sebastian Przyrowski",65,319,94,1
"228",13471,"Radoslaw Cierzniak",66,331,149,2
"229",13472,"Arkadiusz Malarz",65,325,36,1
"230",13473,"Maciej Mielcarz",66,329,90,1
"231",13474,"Jaroslaw Bieniuk",67,57,78,1
"232",13476,"Dawid Kucharski",64,135,10,1
"233",13477,"Tomasz Lisowski",69,48,82,1
"234",13480,"Grzegorz Wojtkowiak",72,139,85,1
"235",13481,"Hubert Wolakiewicz",68,136,153,1
"236",13483,"Filip Burkhardt",59,131,28,1
"237",13486,"Marcin Kikut",70,133,68,1
"238",13490,"Szymon Sawala",61,129,83,1
"239",13494,"Jakub Szmatula",66,337,48,1
"240",13504,"Mateusz Zytko",60,62,96,1
"241",13513,"Pawel Strak",70,87,45,1
"242",13515,"Lukasz Mierzejewski",63,123,90,1
"243",13518,"Lukasz Piszczek",83,146,175,1
"244",13533,"Piotr Polczak",67,115,90,1
"245",13538,"Dawid Plizga",68,112,108,1
"246",13549,"Vejlko Nikitovic",61,70,22,1
"247",13551,"Tomasz Brzyski",69,136,170,1
"248",13554,"Mariusz Pawelec",66,144,144,1
"249",13557,"Dawid Soldecki",61,53,26,1
"250",13917,"Liam Kelly",68,113,95,1
"251",14039,"Paul Dixon",71,132,160,1
"252",14100,"Alan Mannus",69,341,156,1
"253",14487,"Roei Dayan",68,52,14,1
"254",14521,"Maor Melikson",76,54,81,2
"255",14533,"Gal Alberman",72,156,14,1
"256",14551,"Dekel Keinan",66,44,3,1
"257",14557,"Lior Rafaelov",78,52,63,1
"258",14560,"Eden Ben Basat",73,52,55,1
"259",14593,"Eliran Atar",72,46,11,1
"260",14642,"Yoav Ziv",67,133,28,1
"261",14658,"Vladimir Dvalishvili",69,55,58,1
"262",15361,"Jasmin Buric",71,348,101,1
"263",15403,"Edin Dzeko",85,129,174,3
"264",15425,"Veldin Muharemovic",57,119,3,1
"265",15456,"Josip Barisic",59,118,4,1
"266",15608,"Amir Spahic",60,115,62,1
"267",15652,"Ivica Dzidic",56,120,1,1
"268",15661,"Davor Landeka",58,66,6,1
"269",15662,"Sulejman Smajic",69,125,29,1
"270",15732,"Ivan Radovanovic",73,129,113,1
"271",15905,"Stanley Aborah",66,62,6,1
"272",15913,"Dimitrija Lazarevski",59,116,2,1
"273",15938,"Jovan Kostovski",66,69,11,1
"274",16199,"Boban Bajkovic",68,344,22,1
"275",16210,"Marko Perovic",70,148,4,1
"276",16218,"Simon Vukcevic",79,150,33,2
"277",16230,"Milan Smiljanic",71,116,11,1
"278",16254,"Dusan Veskovac",70,115,158,2
"279",16292,"Branko Lazarevic",66,53,4,1
"280",16300,"Gojko Kacar",78,145,88,1
"281",16323,"Nikola Nikezic",63,120,2,1
"282",16351,"Aleksandar Kolarov",79,154,157,2
"283",16362,"Andjelko Djuricic",68,344,27,1
"284",16368,"Savo Pavicevic",67,129,17,1
"285",16387,"Mladen Lazarevic",61,127,20,1
"286",16428,"Ivan Stevanovic",65,46,5,1
"287",16475,"Nikola Vukcevic",73,67,15,1
"288",16493,"Pavle Ninkov",71,62,76,1
"289",16511,"Konstantin Vassiljev",71,56,37,1
"290",16636,"Mikhail Sivakov",68,145,14,2
"291",16678,"Anton Putsila",73,160,37,1
"292",17233,"Zlatko Janjic",66,90,1,1
"293",17259,"Marnix Kolder",65,51,46,1
"294",17276,"Aloys Nong",70,111,69,1
"295",17296,"Claude Gnakpa",58,72,2,1
"296",17299,"Carlos Carmona",72,138,16,1
"297",17312,"Anther Yahia",76,137,49,1
"298",17319,"Kenny Deuchar",65,118,28,1
"299",17343,"David Barron",62,127,63,1
"300",17361,"Iain Davidson",61,43,43,1
"301",17391,"Andy Jackson",63,125,10,1
"302",17480,"Martin Canning",65,118,113,1
"303",17525,"Jim McAlister",64,57,87,1
"304",17528,"Chris Millar",63,129,191,1
"305",17568,"Gavin Skelton",63,124,50,1
"306",17600,"Darren McGregor",68,54,80,1
"307",17606,"Liam Buchanan",61,59,14,1
"308",17620,"Stuart Kettlewell",63,41,41,1
