"team_api_id","team_long_name","buildup_attributes_sum","chance_attributes_sum","defence_attributes_sum","players_fielded"
"1",1601,"Ruch Chorzów",139,155,175,55
"2",1773,"Oud-Heverlee Leuven",153,157,137,55
"3",1957,"Jagiellonia Białystok",158,150,210,64
"4",2033,"S.C. Olhanense",147,155,155,87
"5",2182,"Lech Poznań",176,155,160,60
"6",2183,"P. Warszawa",NA,155,175,35
"7",2186,"Cracovia",125,140,205,49
"8",4049,"Tubize",NA,NA,NA,16
"9",4064,"Feirense",NA,NA,NA,27
"10",4087,"Évian Thonon Gaillard FC",156,180,165,56
"11",4170,"US Boulogne Cote D'Opale",NA,150,200,31
"12",6269,"Novara",179,163,151,28
"13",6351,"KAS Eupen",NA,160,155,24
"14",6367,"Uniao da Madeira",NA,NA,NA,27
"15",6391,"GFC Ajaccio",153,179,146,22
"16",6403,"FC Paços de Ferreira",142,170,90,101
"17",6413,"PEC Zwolle",137,154,141,53
"18",6421,"Leixões SC",NA,165,90,37
"19",6433,"Go Ahead Eagles",160,132,141,30
"20",6493,"AC Bellinzona",NA,175,150,36
"21",6547,"FC Penafiel",147,146,121,23
"22",6601,"FC Volendam",NA,NA,NA,13
"23",6631,"FC Dordrecht",134,176,164,26
"24",7730,"FC Lausanne-Sports",141,160,165,53
"25",7788,"SC Cambuur",136,159,138,52
"26",7794,"SC Bastia",174,140,210,64
"27",7819,"SM Caen",157,155,205,76
"28",7841,"Rio Ave FC",157,160,90,99
"29",7842,"Estoril Praia",174,139,150,56
"30",7844,"Vitória Guimarães",131,165,90,109
"31",7869,"Córdoba CF",146,140,105,30
"32",7878,"Granada CF",166,168,170,85
"33",7896,"Lugano",NA,NA,NA,26
"34",7943,"Sassuolo",188,120,90,46
"35",7947,"FCV Dender EH",NA,NA,NA,13
"36",7955,"Neuchâtel Xamax",NA,190,150,50
"37",7992,"Trofense",NA,NA,NA,13
"38",8019,"Górnik Łęczna",140,139,149,35
"39",8020,"Polonia Bytom",NA,150,185,63
"40",8021,"Zagłębie Lubin",133,140,210,52
"41",8023,"Pogoń Szczecin",134,185,157,40
"42",8024,"Widzew Łódź",190,169,158,44
"43",8025,"Śląsk Wrocław",140,150,180,53
"44",8027,"Zawisza Bydgoszcz",145,168,143,36
"45",8028,"Piast Gliwice",183,150,195,55
"46",8030,"Lechia Gdańsk",162,150,205,74
"47",8031,"Polonia Bytom",NA,150,185,16
"48",8033,"Podbeskidzie Bielsko-Biała",193,137,152,59
"49",8066,"Inverness Caledonian Thistle",169,154,130,81
"50",8121,"Angers SCO",159,145,115,25
"51",8152,"FC St. Pauli",161,190,185,24
"52",8165,"1. FC Nürnberg",153,180,150,62
"53",8177,"Hertha BSC Berlin",175,155,140,78
"54",8178,"Bayer 04 Leverkusen",157,210,200,70
"55",8191,"Burnley",154,210,205,42
"56",8194,"Fortuna Düsseldorf",198,172,169,24
"57",8197,"Leicester City",164,185,210,29
"58",8203,"KV Mechelen",134,140,190,70
"59",8226,"TSG 1899 Hoffenheim",180,180,200,87
"60",8234,"FC Ingolstadt 04",160,151,140,22
"61",8242,"Odra Wodzisław",NA,155,205,8
"62",8244,"Widzew Łódź",190,169,158,16
"63",8245,"Korona Kielce",192,150,170,59
"64",8262,"SV Darmstadt 98",179,174,129,20
"65",8277,"Vitesse",145,150,90,84
"66",8284,"Dundee FC",142,151,154,55
"67",8295,"Karlsruher SC",164,205,170,25
"68",8302,"Sevilla FC",183,200,195,104
"69",8305,"Getafe CF",117,155,120,86
"70",8306,"UD Las Palmas",147,155,125,25
"71",8315,"Athletic Club de Bilbao",131,160,135,57
"72",8322,"Arka Gdynia",NA,150,205,12
"73",8342,"Club Brugge KV",139,140,200,90
"74",8344,"Cardiff City",168,210,210,25
"75",8348,"Moreirense FC",139,144,138,57
"76",8350,"1. FC Kaiserslautern",167,185,210,37
"77",8357,"SpVgg Greuther Fürth",167,170,155,29
"78",8358,"SC Freiburg",151,160,155,69
"79",8370,"Rayo Vallecano",141,155,120,81
"80",8371,"CA Osasuna",143,165,150,66
"81",8372,"SD Eibar",165,179,142,40
"82",8388,"CD Numancia",137,160,140,21
"83",8394,"Real Zaragoza",154,155,115,70
"84",8398,"FC Energie Cottbus",126,130,206,20
"85",8406,"FC Augsburg",169,175,145,58
"86",8426,"Partick Thistle F.C.",143,151,143,43
"87",8429,"Hamilton Academical FC",143,200,195,79
"88",8455,"Chelsea",157,196,125,71
"89",8456,"Manchester City",123,195,145,76
"90",8457,"Dunfermline Athletic",NA,168,148,25
"91",8460,"SC Paderborn 07",175,139,108,21
"92",8462,"Portsmouth",148,195,150,43
"93",8464,"N.E.C.",150,135,90,96
"94",8466,"Southampton",129,205,210,46
"95",8467,"St. Johnstone FC",162,150,130,82
"96",8472,"Sunderland",154,195,140,102
"97",8475,"Waasland-Beveren",132,134,114,76
"98",8479,"RC Recreativo",148,130,130,21
"99",8481,"AS Nancy-Lorraine",146,160,210,55
"100",8483,"Blackpool",183,205,210,27
"101",8485,"Aberdeen",184,210,200,93
"102",8521,"Stade Brestois 29",161,130,210,47
"103",8524,"Atalanta",146,120,115,100
"104",8525,"Willem II",150,135,90,100
"105",8526,"De Graafschap",NA,153,137,61
"106",8528,"Wigan Athletic",144,190,140,57
"107",8529,"Cagliari",167,120,155,73
"108",8530,"Catania",175,120,140,68
"109",8533,"Chievo Verona",187,145,165,99
